entrada_t,salida_t,direccion,resultado_%,motivo_salida
2026-02-12 13:09:00+00:00,2026-02-12 13:29:00+00:00,CORTO,-0.03467570803646796,vwap
2026-02-12 13:31:00+00:00,2026-02-12 14:06:00+00:00,CORTO,0.06614786759386339,vwap
2026-02-12 14:16:00+00:00,2026-02-12 14:32:00+00:00,LARGO,0.1776561251040552,vwap
2026-02-12 14:56:00+00:00,2026-02-12 15:10:00+00:00,LARGO,0.3917682077432293,vwap
2026-02-12 16:10:00+00:00,2026-02-12 16:59:00+00:00,LARGO,-1.5755265494548203,cierre_sesion
2026-02-13 13:09:00+00:00,2026-02-13 13:23:00+00:00,LARGO,-0.013786801703533448,vwap
2026-02-13 13:30:00+00:00,2026-02-13 13:46:00+00:00,CORTO,0.2952034691663008,vwap
2026-02-16 13:12:00+00:00,2026-02-16 13:20:00+00:00,LARGO,0.008198376721406253,vwap
2026-02-16 13:28:00+00:00,2026-02-16 13:51:00+00:00,LARGO,0.02279624916640829,vwap
2026-02-16 14:20:00+00:00,2026-02-16 16:31:00+00:00,LARGO,-0.06211205013843884,vwap
2026-02-17 13:11:00+00:00,2026-02-17 13:40:00+00:00,LARGO,-0.02905724480422695,vwap
2026-02-17 13:56:00+00:00,2026-02-17 14:31:00+00:00,LARGO,0.0949576294198344,vwap
2026-02-17 14:39:00+00:00,2026-02-17 16:00:00+00:00,LARGO,0.1274415443437702,vwap
2026-02-18 13:36:00+00:00,2026-02-18 13:41:00+00:00,CORTO,0.2270517494398783,vwap
2026-02-18 14:31:00+00:00,2026-02-18 16:59:00+00:00,CORTO,-0.6562043009562156,cierre_sesion
2026-02-19 13:23:00+00:00,2026-02-19 13:30:00+00:00,CORTO,0.1434938907300489,vwap
2026-02-19 13:33:00+00:00,2026-02-19 16:07:00+00:00,CORTO,-0.2662474168568202,vwap
2026-02-20 13:17:00+00:00,2026-02-20 13:31:00+00:00,CORTO,0.06650482831018596,vwap
2026-02-20 13:32:00+00:00,2026-02-20 13:38:00+00:00,LARGO,0.12706923181869548,vwap
2026-02-20 13:46:00+00:00,2026-02-20 15:02:00+00:00,CORTO,-0.13809917905502048,vwap
2026-02-20 15:03:00+00:00,2026-02-20 15:18:00+00:00,LARGO,0.5035447357909166,vwap
2026-02-20 15:27:00+00:00,2026-02-20 15:38:00+00:00,LARGO,0.4553222522289682,vwap
2026-02-20 16:32:00+00:00,2026-02-20 16:59:00+00:00,CORTO,-0.03277267706376269,cierre_sesion
2026-02-23 13:09:00+00:00,2026-02-23 14:12:00+00:00,LARGO,-0.05983030303030373,vwap
2026-02-23 14:14:00+00:00,2026-02-23 16:04:00+00:00,CORTO,-0.4435675434599238,vwap
2026-02-23 16:17:00+00:00,2026-02-23 16:59:00+00:00,CORTO,0.005373919218491173,cierre_sesion
2026-02-24 13:10:00+00:00,2026-02-24 13:15:00+00:00,CORTO,0.09753594821642617,vwap
2026-02-24 13:30:00+00:00,2026-02-24 14:38:00+00:00,LARGO,-0.38245538101425747,vwap
2026-02-25 13:23:00+00:00,2026-02-25 13:30:00+00:00,CORTO,0.06271090273837819,vwap
2026-02-25 13:40:00+00:00,2026-02-25 13:41:00+00:00,CORTO,0.125602971319379,vwap
2026-02-25 15:01:00+00:00,2026-02-25 15:19:00+00:00,CORTO,0.08681964561641689,vwap
2026-02-25 15:25:00+00:00,2026-02-25 15:38:00+00:00,LARGO,0.13024614592006362,vwap
2026-02-25 16:20:00+00:00,2026-02-25 16:59:00+00:00,CORTO,-0.2384638313830046,cierre_sesion
2026-02-26 13:09:00+00:00,2026-02-26 13:16:00+00:00,LARGO,0.08574082684316969,vwap
2026-02-26 13:30:00+00:00,2026-02-26 14:27:00+00:00,LARGO,0.04874614093050052,vwap
2026-02-26 14:30:00+00:00,2026-02-26 14:36:00+00:00,LARGO,0.5389277762544125,vwap
2026-02-26 15:15:00+00:00,2026-02-26 15:38:00+00:00,LARGO,0.13042058117411606,vwap
2026-02-26 15:45:00+00:00,2026-02-26 16:59:00+00:00,CORTO,-0.0010618406331539764,cierre_sesion
2026-02-27 13:15:00+00:00,2026-02-27 13:36:00+00:00,CORTO,0.034795537893810624,vwap
2026-02-27 15:08:00+00:00,2026-02-27 15:18:00+00:00,CORTO,0.2512020050320629,vwap
2026-02-27 15:48:00+00:00,2026-02-27 16:59:00+00:00,CORTO,0.14218821281484945,cierre_sesion
2026-03-02 13:12:00+00:00,2026-03-02 13:20:00+00:00,LARGO,0.22722798572186761,vwap
2026-03-02 13:31:00+00:00,2026-03-02 13:38:00+00:00,CORTO,0.3021978782990488,vwap
2026-03-02 14:04:00+00:00,2026-03-02 16:59:00+00:00,LARGO,-1.6163887292616288,cierre_sesion
2026-03-03 13:09:00+00:00,2026-03-03 13:17:00+00:00,LARGO,0.38711510459211085,vwap
2026-03-03 13:40:00+00:00,2026-03-03 14:07:00+00:00,LARGO,0.2529778510953127,vwap
2026-03-03 14:21:00+00:00,2026-03-03 16:04:00+00:00,LARGO,-0.5744352473389981,vwap
2026-03-04 13:09:00+00:00,2026-03-04 13:22:00+00:00,CORTO,0.08711548487381142,vwap
2026-03-04 13:56:00+00:00,2026-03-04 14:31:00+00:00,LARGO,0.11664912580806057,vwap
2026-03-04 14:47:00+00:00,2026-03-04 16:59:00+00:00,LARGO,-0.21250478363439265,cierre_sesion
2026-03-05 13:09:00+00:00,2026-03-05 13:11:00+00:00,LARGO,0.12425255234318677,vwap
2026-03-05 13:16:00+00:00,2026-03-05 13:37:00+00:00,LARGO,-0.2272988019608755,vwap
2026-03-05 14:17:00+00:00,2026-03-05 16:59:00+00:00,LARGO,-0.5387117145068957,cierre_sesion
2026-03-06 14:23:00+00:00,2026-03-06 14:35:00+00:00,CORTO,0.17327938237983972,vwap
2026-03-06 14:55:00+00:00,2026-03-06 16:59:00+00:00,CORTO,-0.5131555635168117,cierre_sesion
2026-03-09 12:10:00+00:00,2026-03-09 12:11:00+00:00,CORTO,0.05667694630887794,vwap
2026-03-09 12:17:00+00:00,2026-03-09 12:48:00+00:00,CORTO,-0.04392221454236644,vwap
2026-03-09 13:23:00+00:00,2026-03-09 13:30:00+00:00,LARGO,0.343642949470913,vwap
2026-03-09 13:41:00+00:00,2026-03-09 14:31:00+00:00,LARGO,0.12171660746088964,vwap
2026-03-09 14:44:00+00:00,2026-03-09 15:02:00+00:00,CORTO,0.4847803232194784,vwap
2026-03-10 12:21:00+00:00,2026-03-10 14:07:00+00:00,CORTO,-0.2308436029760438,vwap
2026-03-10 15:10:00+00:00,2026-03-10 15:59:00+00:00,CORTO,-0.16956136843744068,cierre_sesion
2026-03-11 12:09:00+00:00,2026-03-11 12:30:00+00:00,CORTO,-0.006939411229503149,vwap
2026-03-11 12:34:00+00:00,2026-03-11 13:06:00+00:00,LARGO,-0.02178761915164348,vwap
2026-03-11 13:44:00+00:00,2026-03-11 13:58:00+00:00,LARGO,0.20520444945195632,vwap
